日期,收支类型,类别,备注,金额,货币
2017-11-05,Expense,Groceries,杂物,3654,JPY
2017-11-05,Expense,Food,食品,4600,JPY
2017-11-05,Expense,Food,食品,736,JPY
2017-11-06,Expense,Food,食品,590,JPY
2017-11-06,Expense,Drinks,饮品,59,JPY
2017-11-06,Expense,Food,食品,540,JPY
2017-11-06,Expense,Food,食品,268,JPY
2017-11-06,Expense,Transport,交通,95,JPY
2017-11-06,Expense,Transport,交通,174,JPY
2017-11-06,Expense,Transport,交通11/2,260,JPY
2017-11-06,Expense,Transport,交通,23560,JPY
2017-11-07,Expense,Food,食品,199,JPY
2017-11-07,Expense,Drinks,饮品,109,JPY
2017-11-07,Expense,Food,食品,700,JPY
2017-11-07,Expense,Food,食品,268,JPY
2017-11-08,Expense,Food,食品,214,JPY
2017-11-08,Expense,Food,食品,1100,JPY
2017-11-08,Expense,Food,食品,356,JPY
2017-11-09,Expense,Groceries,杂物,2798,JPY
2017-11-09,Expense,Food,食品,800,JPY
2017-11-09,Expense,Drinks,饮品,59,JPY
2017-11-09,Expense,Food,食品,199,JPY
2017-11-09,Expense,Food,食品,540,JPY
2017-11-09,Expense,Food,食品,268,JPY
2017-11-10,Expense,Food,食品,590,JPY
2017-11-10,Expense,Groceries,杂物,5151,JPY
2017-11-10,Expense,Transport,交通,200,JPY
2017-11-12,Expense,Food,食品,4162,JPY
2017-11-12,Expense,General,住宅保险,17000,JPY
2017-11-12,Expense,Groceries,杂物,734,JPY
2017-11-12,Expense,Groceries,杂物,50,JPY
2017-11-13,Expense,Food,食品,298,JPY
2017-11-13,Expense,Drinks,饮品,59,JPY
2017-11-13,Expense,Food,食品,670,JPY
2017-11-13,Expense,Food,食品,188,JPY
2017-11-13,Expense,Transport,交通,95,JPY
2017-11-13,Expense,Transport,交通,174,JPY
2017-11-14,Expense,Food,食品,488,JPY
2017-11-14,Expense,Food,食品,130,JPY
2017-11-14,Expense,Food,食品,750,JPY
2017-11-14,Expense,Food,食品,88,JPY
2017-11-14,Expense,Transport,交通,174,JPY
2017-11-15,Expense,Drinks,饮品,62,JPY
2017-11-15,Expense,Food,食品,590,JPY
2017-11-15,Expense,Drinks,饮品,117,JPY
2017-11-15,Expense,Food,食品,540,JPY
2017-11-15,Expense,Drinks,饮品,88,JPY
2017-11-16,Expense,Transport,交通,154,JPY
2017-11-16,Expense,Transport,交通,165,JPY
2017-11-16,Expense,Food,食品,156,JPY
2017-11-16,Expense,Food,食品,1100,JPY
2017-11-16,Expense,Food,食品,258,JPY
2017-11-17,Expense,Food,食品,750,JPY
2017-11-17,Expense,Food,食品,415,JPY
2017-11-17,Expense,Transport,交通,95,JPY
2017-11-17,Expense,Transport,交通,174,JPY
2017-11-19,Expense,Food,食品,4136,JPY
2017-11-19,Expense,Transport,交通,160,JPY
2017-11-19,Expense,Food,食品,4179,JPY
2017-11-19,Expense,Food,食品,6557,JPY
2017-11-20,Expense,Food,食品,130,JPY
2017-11-20,Expense,Food,食品,1100,JPY
2017-11-20,Expense,Drinks,饮品,106,JPY
2017-11-20,Expense,Food,食品,130,JPY
2017-11-21,Expense,Food,食品,1311,JPY
2017-11-21,Expense,Food,食品,216,JPY
2017-11-21,Expense,Food,食品,1100,JPY
2017-11-21,Expense,Drinks,饮品,88,JPY
2017-11-21,Expense,Food,食品,260,JPY
2017-11-21,Expense,Food,食品,130,JPY
2017-11-22,Expense,Drinks,饮品,62,JPY
2017-11-22,Expense,Food,食品,578,JPY
2017-11-22,Expense,Food,食品,540,JPY
2017-11-22,Expense,Drinks,饮品,195,JPY
2017-11-22,Expense,Food,食品,289,JPY
2017-11-22,Expense,Transport,交通,95,JPY
2017-11-22,Expense,Transport,交通,174,JPY
2017-11-23,Expense,Drinks,饮品,100,JPY
2017-11-24,Expense,Food,食品,790,JPY
2017-11-24,Expense,Food,食品,364,JPY
2017-11-24,Expense,Food,食品,100,JPY
2017-11-24,Expense,Food,食品,540,JPY
2017-11-24,Expense,Food,食品,249,JPY
2017-11-24,Expense,Drinks,饮品,78,JPY
2017-11-27,Expense,Food,食品,265,JPY
2017-11-27,Expense,Drinks,饮品,216,JPY
2017-11-27,Expense,Food,食品,800,JPY
2017-11-27,Expense,Food,食品,318,JPY
2017-11-28,Expense,Food,食品,265,JPY
2017-11-28,Expense,Drinks,饮品,216,JPY
2017-11-28,Expense,Food,食品,540,JPY
2017-11-28,Expense,Drinks,饮品,168,JPY
2017-11-29,Expense,Groceries,杂物,324,JPY
2017-11-29,Expense,Food,食品,289,JPY
2017-11-29,Expense,Drinks,饮品,216,JPY
2017-11-29,Expense,Food,食品,800,JPY
2017-11-29,Expense,Food,食品,258,JPY
2017-11-30,Expense,Food,食品,1400,JPY
2017-11-30,Expense,Transport,交通,154,JPY
2017-11-30,Expense,Drinks,饮品,216,JPY
2017-11-30,Expense,Food,食品,800,JPY
2017-11-30,Expense,Food,食品,328,JPY
2017-12-01,Expense,Drinks,饮品,216,JPY
2017-12-01,Expense,Food,食品,1100,JPY
2017-12-02,Expense,Drinks,饮品,432,JPY
2017-12-02,Expense,Food,食品,3531,JPY
2017-12-03,Expense,Food,食品,432,JPY
2017-12-04,Expense,Groceries,杂物,614,JPY
2017-12-04,Expense,Food,食品,630,JPY
2017-12-04,Expense,Drinks,饮品,158,JPY
2017-12-04,Expense,Food,食品,830,JPY
2017-12-04,Expense,Food,食品,188,JPY
2017-12-05,Expense,Food,食品,432,JPY
2017-12-05,Expense,Drinks,饮品,118,JPY
2017-12-05,Expense,Groceries,杂物,1070,JPY
2017-12-05,Expense,Transport,交通,200,JPY
2017-12-06,Expense,Transport,交通,154,JPY
2017-12-06,Expense,Transport,交通,164,JPY
2017-12-06,Expense,Drinks,饮品,216,JPY
2017-12-06,Expense,Food,食品,540,JPY
2017-12-06,Expense,Drinks,饮品,166,JPY
2017-12-06,Expense,Food,食品,150,JPY
2017-12-06,Expense,Transport,交通,23560,JPY
2017-12-07,Expense,Drinks,饮品,168,JPY
2017-12-07,Expense,Food,食品,384,JPY
2017-12-07,Expense,Drinks,饮品,216,JPY
2017-12-07,Expense,Food,食品,850,JPY
2017-12-07,Expense,Transport,交通,95,JPY
2017-12-07,Expense,Transport,交通,174,JPY
2017-12-08,Expense,Transport,交通,174,JPY
2017-12-08,Expense,Drinks,饮品,216,JPY
2017-12-08,Expense,Drinks,饮品,216,JPY
2017-12-08,Expense,Food,食品,900,JPY
2017-12-08,Expense,Food,食品,346,JPY
2017-12-08,Expense,Transport,交通,174,JPY
2017-12-09,Expense,Groceries,杂物,3024,JPY
2017-12-09,Expense,Drinks,饮品,105,JPY
2017-12-10,Expense,Food,食品,324,JPY
2017-12-10,Expense,Food,食品,2830,JPY
2017-12-10,Expense,Food,食品,8236,JPY
2017-12-10,Expense,Food,食品,557,JPY
2017-12-10,Expense,Groceries,杂物,216,JPY
2017-12-10,Expense,Food,食品,680,JPY
2017-12-10,Expense,Drinks,饮品,100,JPY
2017-12-10,Expense,Groceries,驾照更新,3850,JPY
2017-12-10,Expense,Food,食品,250,JPY
2017-12-11,Expense,Drinks,饮品,95,JPY
2017-12-11,Expense,Food,食品,200,JPY
2017-12-11,Expense,Social,11月聚餐,3000,JPY
2017-12-11,Expense,Drinks,饮品,216,JPY
2017-12-11,Expense,Food,食品,540,JPY
2017-12-11,Expense,Food,食品,198,JPY
2017-12-12,Expense,Drinks,饮品,95,JPY
2017-12-12,Expense,Food,食品,260,JPY
2017-12-12,Expense,Drinks,饮品,216,JPY
2017-12-12,Expense,Food,食品,780,JPY
2017-12-12,Expense,Food,食品,188,JPY
2017-12-13,Expense,Drinks,饮品,95,JPY
2017-12-13,Expense,Food,食品,260,JPY
2017-12-13,Expense,Social,12月聚餐,4000,JPY
2017-12-13,Expense,Groceries,杂物,108,JPY
2017-12-13,Expense,Drinks,饮品,216,JPY
2017-12-13,Expense,Food,食品,540,JPY
2017-12-13,Expense,Drinks,饮品,108,JPY
2017-12-13,Expense,Food,食品,790,JPY
2017-12-14,Expense,Drinks,饮品,95,JPY
2017-12-14,Expense,Food,食品,260,JPY
2017-12-14,Expense,Drinks,饮品,216,JPY
2017-12-15,Expense,Food,食品,830,JPY
2017-12-15,Expense,Food,食品,460,JPY
2017-12-15,Expense,Food,食品,540,JPY
2017-12-15,Expense,Transport,交通,95,JPY
2017-12-15,Expense,Transport,交通,174,JPY
2017-12-16,Expense,Food,食品,3388,JPY
2017-12-16,Expense,Groceries,杂物,7483,JPY
2017-12-16,Expense,Groceries,杂物,11102,JPY
2017-12-17,Expense,Food,食品,2415,JPY
2017-12-17,Expense,Food,食品,9292,JPY
2017-12-17,Expense,Groceries,杂物,4104,JPY
2017-12-18,Expense,Drinks,饮品,78,JPY
2017-12-18,Expense,Food,食品,249,JPY
2017-12-18,Expense,Drinks,饮品,216,JPY
2017-12-18,Expense,Food,食品,850,JPY
2017-12-18,Expense,Food,食品,273,JPY
2017-12-19,Expense,Food,食品,1090,JPY
2017-12-19,Expense,Mobile,话费,3000,JPY
2017-12-19,Expense,Drinks,饮品,216,JPY
2017-12-19,Expense,Food,食品,780,JPY
2017-12-19,Expense,Drinks,饮品,100,JPY
2017-12-19,Expense,Food,食品,490,JPY
2017-12-19,Expense,Food,食品,505,JPY
2017-12-20,Expense,Food,食品,590,JPY
2017-12-20,Expense,Drinks,饮品,78,JPY
2017-12-20,Expense,Drinks,饮品,216,JPY
2017-12-20,Expense,Food,食品,830,JPY
2017-12-20,Expense,Food,食品,188,JPY
2017-12-21,Expense,Drinks,饮品,68,JPY
2017-12-21,Expense,Food,食品,288,JPY
2017-12-21,Expense,Drinks,饮品,216,JPY
2017-12-21,Expense,Drinks,饮品,100,JPY
2017-12-21,Expense,Transport,交通,95,JPY
2017-12-21,Expense,Transport,交通,174,JPY
2017-12-22,Expense,Drinks,饮品,59,JPY
2017-12-22,Expense,Food,食品,790,JPY
2017-12-22,Expense,Drinks,饮品,216,JPY
2017-12-22,Expense,Food,食品,800,JPY
2017-12-22,Expense,Transport,交通,174,JPY
2017-12-22,Expense,Drinks,饮品,100,JPY
2017-12-24,Expense,Food,食品,5743,JPY
2017-12-24,Expense,Groceries,杂物,1296,JPY
2017-12-24,Expense,Food,食品,890,JPY
2017-12-24,Expense,Food,食品,756,JPY
2017-12-25,Expense,Drinks,饮品,98,JPY
2017-12-25,Expense,Food,食品,690,JPY
2017-12-25,Expense,Drinks,饮品,200,JPY
2017-12-25,Expense,Transport,交通,95,JPY
2017-12-25,Expense,Transport,交通,174,JPY
2017-12-25,Expense,Food,食品,680,JPY
2017-12-25,Expense,General,房租手续费,108,JPY
2017-12-25,Expense,General,房租,70000,JPY
2017-12-25,Expense,General,保险,29200,JPY
2017-12-25,Expense,Groceries,杂物,600,JPY
2017-12-25,Expense,Drinks,饮品,95,JPY
2017-12-26,Expense,Food,食品,680,JPY
2017-12-26,Expense,Food,食品,198,JPY
2017-12-26,Expense,Food,食品,324,JPY
2017-12-26,Expense,Groceries,话费手续费,108,JPY
2017-12-26,Expense,Mobile,话费,17067,JPY
2017-12-26,Expense,Drinks,饮品,216,JPY
2017-12-26,Expense,Food,食品,900,JPY
2017-12-26,Expense,Drinks,饮品,100,JPY
2017-12-26,Expense,Transport,交通,95,JPY
2017-12-26,Expense,Transport,交通,174,JPY
2017-12-27,Expense,Drinks,饮品,324,JPY
2017-12-27,Expense,Food,食品,540,JPY
2017-12-27,Expense,Food,食品,258,JPY
2017-12-28,Expense,Food,食品,830,JPY
2017-12-28,Expense,Drinks,饮品,216,JPY
2017-12-28,Expense,Food,食品,355,JPY
2017-12-29,Expense,Food,食品,2223,JPY
2017-12-29,Expense,Groceries,杂物,2725,JPY
2017-12-29,Expense,Groceries,杂物,2980,JPY
2017-12-29,Expense,Groceries,理发,1000,JPY
2017-12-30,Expense,Drinks,饮品,390,JPY
